,Steak hache,Pains et cereales : pates superieures,Emmental francais,Huile de tournesol,Beurre extra-fin (250g),Oignon,Tomate,Sucre,Lait,Escalope,Pomme,Orange,Banane,Patate,Salade,Carotte,Champignon,Concombre,Courgette,Yaourts nature (500 g),Poisson,Baguette, Panier Mensuel Moyen ,IPC,IPP,Prod céréales,Prod graines(huile),Prod légumes,Prod fruits,FR_prod_bovine,FR_prod_chicken
61,19.987,5.6,3.308,0.87,1.1325,1.26,1.932,0.411,0.462,20.44,1.06,1.316,1.63,1.176,1.33,0.55,2.7,0.0,0.88,5.36,10.344,7.825,89.57,87.63,94.9,99.29542218021423,71.05252317198764,77.34248536919438,104.43103977098454,116.06,58933.6
62,19.964,5.68,3.3,0.87,1.1325,1.239,1.925,0.411,0.462,20.59,1.065,1.323,1.66,1.162,1.29,0.56,2.706,1.46,0.856,5.28,10.164,7.85,90.95,87.58,95.4,100.81440768746063,71.02080329557157,80.65387249408543,106.52653102954709,133.44,75857.4
63,19.941,5.68,3.284,0.87,1.1325,1.267,2.457,0.408,0.462,20.55,1.09,1.33,1.68,1.442,1.45,0.595,2.742,1.24,0.864,5.28,10.65,7.85,92.26,88.29,96.0,102.33339319470699,70.9890834191555,83.96525961897648,108.6220222881096,127.7,63071.2
64,20.079,5.68,3.288,0.875,1.125,1.365,2.051,0.408,0.462,20.62,1.135,1.344,1.68,1.442,1.34,0.625,2.742,1.13,0.756,5.28,10.938,7.85,92.22,88.69,96.4,117.19303402646503,77.55509783728115,85.92329722325988,106.83570187097436,135.31,63959.2
65,20.079,5.6,3.292,0.875,1.125,1.407,1.638,0.408,0.462,20.64,1.19,1.393,1.65,1.344,1.26,0.62,2.736,1.005,0.672,5.28,10.71,7.85,91.24,89.01,96.5,132.05267485822307,84.1211122554068,87.88133482754326,105.04938145383908,124.62,77631.6
66,20.01,5.68,3.3,0.875,1.125,1.498,1.715,0.411,0.462,20.75,1.23,1.498,1.63,1.141,1.26,0.595,2.748,0.91,0.768,5.28,10.86,7.875,91.62,88.4,96.9,146.9123156899811,90.68712667353245,89.83937243182667,103.26306103670382,125.11,60491.2
67,20.171,5.68,3.304,0.875,1.1325,1.554,1.582,0.411,0.469,20.72,1.26,1.589,1.57,1.092,1.22,0.59,2.772,0.845,0.7,5.36,11.04,7.95,91.89,88.29,97.0,149.68611531190925,96.6821833161689,87.21905740256508,100.92710356814231,136.63,58431.8
68,19.987,5.76,3.296,0.875,1.14,1.526,1.61,0.408,0.469,20.95,1.2,1.575,1.63,0.994,1.23,0.595,2.73,0.845,0.808,5.44,11.124,8.075,92.27,88.77,97.5,152.45991493383744,102.67723995880537,84.59874237330345,98.59114609958084,120.52,72257.6
69,19.941,5.76,3.304,0.88,1.155,1.456,1.953,0.408,0.476,21.24,1.07,1.512,1.66,0.0,1.24,0.575,2.736,0.0,0.852,5.44,11.274,8.125,91.06,89.23,97.6,155.23371455576557,108.67229660144183,81.97842734404185,96.25518863101932,137.62,59807.1
70,19.803,6.0,3.324,0.91,1.1775,1.435,1.883,0.408,0.49,21.6,1.055,1.393,1.6,0.0,1.36,0.555,2.79,0.0,0.848,5.44,11.322,8.175,91.57,89.83,98.4,157.01687145557656,115.33347064881566,78.89739758436062,98.21327062672528,125.0,53973.1
71,19.964,6.16,3.432,0.93,1.2225,1.414,1.876,0.411,0.511,21.78,1.075,1.323,1.63,0.0,1.43,0.55,2.826,0.0,0.844,5.68,11.262,8.175,92.5,90.39,99.0,158.8000283553875,121.9946446961895,75.81636782467938,100.17135262243124,116.61,75095.3
72,21.091,6.56,3.52,0.95,1.2825,1.4,1.883,0.414,0.532,21.91,1.07,1.344,1.65,1.036,1.57,0.55,2.838,0.0,1.116,5.92,12.654,8.2,97.49,91.68,99.4,160.5831852551985,128.65581874356334,72.73533806499813,102.1294346181372,127.76,58685.2
